road_name,x,y,elevation_corrected,head_sp1,head_sp3,head_sp5,head_sp7,head_sp9,geometry,PSI_sp1_year1,PSI_sp1_year2,PSI_sp1_year3,PSI_sp1_year4,PSI_sp1_year5,PSI_sp1_year6,PSI_sp1_year7,PSI_sp1_year8,PSI_sp1_year9,PSI_sp1_year10,PSI_sp1_year11,PSI_sp1_year12,PSI_sp1_year13,PSI_sp1_year14,PSI_sp1_year15,PSI_sp1_year16,PSI_sp1_year17,PSI_sp1_year18,PSI_sp1_year19,PSI_sp1_year20,PSI_sp3_year1,PSI_sp3_year2,PSI_sp3_year3,PSI_sp3_year4,PSI_sp3_year5,PSI_sp3_year6,PSI_sp3_year7,PSI_sp3_year8,PSI_sp3_year9,PSI_sp3_year10,PSI_sp3_year11,PSI_sp3_year12,PSI_sp3_year13,PSI_sp3_year14,PSI_sp3_year15,PSI_sp3_year16,PSI_sp3_year17,PSI_sp3_year18,PSI_sp3_year19,PSI_sp3_year20,PSI_sp5_year1,PSI_sp5_year2,PSI_sp5_year3,PSI_sp5_year4,PSI_sp5_year5,PSI_sp5_year6,PSI_sp5_year7,PSI_sp5_year8,PSI_sp5_year9,PSI_sp5_year10,PSI_sp5_year11,PSI_sp5_year12,PSI_sp5_year13,PSI_sp5_year14,PSI_sp5_year15,PSI_sp5_year16,PSI_sp5_year17,PSI_sp5_year18,PSI_sp5_year19,PSI_sp5_year20,PSI_sp7_year1,PSI_sp7_year2,PSI_sp7_year3,PSI_sp7_year4,PSI_sp7_year5,PSI_sp7_year6,PSI_sp7_year7,PSI_sp7_year8,PSI_sp7_year9,PSI_sp7_year10,PSI_sp7_year11,PSI_sp7_year12,PSI_sp7_year13,PSI_sp7_year14,PSI_sp7_year15,PSI_sp7_year16,PSI_sp7_year17,PSI_sp7_year18,PSI_sp7_year19,PSI_sp7_year20,PSI_sp9_year1,PSI_sp9_year2,PSI_sp9_year3,PSI_sp9_year4,PSI_sp9_year5,PSI_sp9_year6,PSI_sp9_year7,PSI_sp9_year8,PSI_sp9_year9,PSI_sp9_year10,PSI_sp9_year11,PSI_sp9_year12,PSI_sp9_year13,PSI_sp9_year14,PSI_sp9_year15,PSI_sp9_year16,PSI_sp9_year17,PSI_sp9_year18,PSI_sp9_year19,PSI_sp9_year20,overlay_sp9_in,psi_after_sp9
Ocean Boulevard,1227221.6870710002,181568.10546278115,3.3,2.25823272,2.32934256,2.40222024,2.48204736,2.526792,POINT (1227221.6870710002 181568.10546278115),4.199999112204776,4.199908586453699,4.199723913921397,4.199441328736674,4.199056914393121,4.198566597724788,4.197966142638384,4.1972511435974855,4.196417018843822,4.195459003348844,4.194372141482924,4.193151279391173,4.191791057064519,4.19028590009341,4.18863001109247,4.18681736078022,4.184841678704468,4.182696443594232,4.180374873328484,4.17786991450095,4.199999112204776,4.199908586453699,4.199723913921397,4.199441328736674,4.199056914393121,4.198566597724788,4.197966142638384,4.1972511435974855,4.196417018843822,4.195459003348844,4.194372141482924,4.193151279391173,4.191791057064519,4.19028590009341,4.18863001109247,4.18681736078022,4.184841678704468,4.182696443594232,4.180374873328484,4.17786991450095,4.199999112204776,4.199908586453699,4.199723913921397,4.199441328736674,4.199056914393121,4.198566597724788,4.197966142638384,4.1972511435974855,4.196417018843822,4.195459003348844,4.194372141482924,4.193151279391173,4.191791057064519,4.19028590009341,4.18863001109247,4.18681736078022,4.184841678704468,4.182696443594232,4.180374873328484,4.17786991450095,4.199999112204776,4.199908586453699,4.199723913921397,4.199441328736674,4.199056914393121,4.198566597724788,4.197966142638384,4.1972511435974855,4.196417018843822,4.195459003348844,4.194372141482924,4.165872025177349,4.128708816671015,4.089727520859335,4.080246676460694,4.013227519083374,3.892620463811079,3.740972756407736,3.601952706499704,3.4485496190047917,4.181176035142376,4.02929550989094,3.81970786654616,3.5657044829426483,3.273801007306682,2.947959457831858,2.5908574774966406,2.2044212458030894,1.79009322940504,1.34898311874142,0.8819600808882434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7342526917206507
Ocean Boulevard,1227828.3543505403,182772.4893129088,2.8,0.6813499199999999,0.8807196,1.04832912,1.29564384,1.9376136,POINT (1227828.3543505403 182772.4893129088),4.199999112204776,4.199908586453699,4.199723913921397,4.199441328736674,4.199056914393121,4.198566597724788,4.197966142638384,4.1972511435974855,4.196417018843822,4.195459003348844,4.194372141482924,4.193151279391173,4.191791057064519,4.19028590009341,4.18863001109247,4.18681736078022,4.184841678704468,4.182696443594232,4.180374873328484,4.17786991450095,4.199999112204776,4.199908586453699,4.199723913921397,4.199441328736674,4.199056914393121,4.198566597724788,4.197966142638384,4.1972511435974855,4.196417018843822,4.195459003348844,4.194372141482924,4.193151279391173,4.191791057064519,4.19028590009341,4.18863001109247,4.18681736078022,4.184841678704468,4.182696443594232,4.180374873328484,4.17786991450095,4.199999112204776,4.199908586453699,4.199723913921397,4.199441328736674,4.199056914393121,4.198566597724788,4.197966142638384,4.1972511435974855,4.196417018843822,4.195459003348844,4.194372141482924,4.193151279391173,4.191791057064519,4.183201517820377,4.151961535078366,4.1424448787226105,4.140469196646858,4.113387496591087,4.0249296965312045,3.933283931861834,4.197946755812407,4.185443546478643,4.142448905604176,4.079922103870223,4.008020645115574,3.914410634465507,3.80205729848814,3.664658791309997,3.4778507684514577,3.2489346332108697,2.962083857003535,2.6864800927789307,2.347839611369907,1.8903219861840392,1.335807184624051,0.7661113584744932,0.0,0.0,0.0,0.0,4.153464282800509,3.778115147173497,3.260239796799165,2.632703015523786,1.911618699651533,1.1067878352115972,0.224836387148695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7342526917206507
Ocean Boulevard,1227777.187040608,182687.04031998647,2.9,0.7000646400000001,0.8926068,1.05975912,1.30539744,1.88223144,POINT (1227777.187040608 182687.04031998647),4.199999112204776,4.199908586453699,4.199723913921397,4.199441328736674,4.199056914393121,4.198566597724788,4.197966142638384,4.1972511435974855,4.196417018843822,4.195459003348844,4.194372141482924,4.193151279391173,4.191791057064519,4.19028590009341,4.18863001109247,4.18681736078022,4.184841678704468,4.182696443594232,4.180374873328484,4.17786991450095,4.199999112204776,4.199908586453699,4.199723913921397,4.199441328736674,4.199056914393121,4.198566597724788,4.197966142638384,4.1972511435974855,4.196417018843822,4.195459003348844,4.194372141482924,4.193151279391173,4.191791057064519,4.19028590009341,4.18863001109247,4.18681736078022,4.184841678704468,4.182696443594232,4.180374873328484,4.17786991450095,4.199999112204776,4.199908586453699,4.199723913921397,4.199441328736674,4.199056914393121,4.198566597724788,4.197966142638384,4.1972511435974855,4.196417018843822,4.195459003348844,4.194372141482924,4.193151279391173,4.191791057064519,4.19028590009341,4.18863001109247,4.18681736078022,4.184841678704468,4.174560500482965,4.146945886778652,4.118265638600851,4.199746329455953,4.19354047766732,4.1708586713518345,4.129688544378125,4.086240292635287,4.046426898490446,3.978800730615962,3.869306908041367,3.7463089036542994,3.573934894017051,3.378876392135256,3.1798329256638245,2.9223000987566583,2.6019211818249186,2.1992706487436693,1.779764983592976,1.3517449417372531,0.7713866666126563,0.0,0.0,4.156078599059176,3.801811407807219,3.3130198033790594,2.720722021884045,2.040126464524645,1.2804832713078702,0.4480459239739855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7342526917206507
Ocean Boulevard,1227737.598517629,182621.91077591103,2.9,0.7612380000000001,0.9305544,1.0767060000000002,1.2853416,1.91060832,POINT (1227737.598517629 182621.91077591103),4.199999112204776,4.199908586453699,4.199723913921397,4.199441328736674,4.199056914393121,4.198566597724788,4.197966142638384,4.1972511435974855,4.196417018843822,4.195459003348844,4.194372141482924,4.193151279391173,4.191791057064519,4.19028590009341,4.18863001109247,4.18681736078022,4.184841678704468,4.182696443594232,4.180374873328484,4.17786991450095,4.199999112204776,4.199908586453699,4.199723913921397,4.199441328736674,4.199056914393121,4.198566597724788,4.197966142638384,4.1972511435974855,4.196417018843822,4.195459003348844,4.194372141482924,4.193151279391173,4.191791057064519,4.19028590009341,4.18863001109247,4.18681736078022,4.184841678704468,4.182696443594232,4.180374873328484,4.17786991450095,4.199999112204776,4.199908586453699,4.199723913921397,4.199441328736674,4.199056914393121,4.198566597724788,4.197966142638384,4.1972511435974855,4.196417018843822,4.195459003348844,4.194372141482924,4.193151279391173,4.191791057064519,4.19028590009341,4.18863001109247,4.18681736078022,4.184841678704468,4.174560500482965,4.146945886778652,4.118265638600851,4.199746329455953,4.19354047766732,4.1708586713518345,4.129688544378125,4.086240292635287,4.046426898490446,3.978800730615962,3.869306908041367,3.7463089036542994,3.573934894017051,3.378876392135256,3.1798329256638245,2.9223000987566583,2.6019211818249186,2.1992706487436693,1.779764983592976,1.3517449417372531,0.7713866666126563,0.0,0.0,4.156078599059176,3.801811407807219,3.3130198033790594,2.720722021884045,2.040126464524645,1.2804832713078702,0.4480459239739855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7342526917206507
Ocean Boulevard,1227695.61088484,182550.9960569345,3.0,0.7647432,0.93256608,1.07749848,1.2387072,1.88265816,POINT (1227695.61088484 182550.9960569345),4.199999112204776,4.199908586453699,4.199723913921397,4.199441328736674,4.199056914393121,4.198566597724788,4.197966142638384,4.1972511435974855,4.196417018843822,4.195459003348844,4.194372141482924,4.193151279391173,4.191791057064519,4.19028590009341,4.18863001109247,4.18681736078022,4.184841678704468,4.182696443594232,4.180374873328484,4.17786991450095,4.199999112204776,4.199908586453699,4.199723913921397,4.199441328736674,4.199056914393121,4.198566597724788,4.197966142638384,4.1972511435974855,4.196417018843822,4.195459003348844,4.194372141482924,4.193151279391173,4.191791057064519,4.19028590009341,4.18863001109247,4.18681736078022,4.184841678704468,4.182696443594232,4.180374873328484,4.17786991450095,4.199999112204776,4.199908586453699,4.199723913921397,4.199441328736674,4.199056914393121,4.198566597724788,4.197966142638384,4.1972511435974855,4.196417018843822,4.195459003348844,4.194372141482924,4.193151279391173,4.191791057064519,4.19028590009341,4.18863001109247,4.18681736078022,4.184841678704468,4.182696443594232,4.172211483483101,4.169706524655568,4.199999112204776,4.199908586453699,4.188727857578077,4.171791253660349,4.156098823372483,4.151337369929806,4.108616363832521,4.0370104006679774,3.9547529484769215,3.867122351792196,3.780402444464212,3.650261328098489,3.4661622454096053,3.2379568557015994,2.962648099595747,2.698899243804306,2.3765575493256232,1.9421802551595744,1.4058140601702502,0.8417220245391333,4.160000073447176,3.837355798757801,3.3921898132489,2.852750531424433,2.232888111834319,1.541026425452217,0.7828602292118583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7342526917206507
Ocean Boulevard,1227488.7214014283,182206.07983309813,4.5,3.5694823200000005,3.57859584,3.5864596800000004,3.59819448,3.632210160000001,POINT (1227488.7214014283 182206.07983309813),4.199999112204776,4.199908586453699,4.199723913921397,4.199441328736674,4.199056914393121,4.198566597724788,4.197966142638384,4.1972511435974855,4.196417018843822,4.195459003348844,4.194372141482924,4.193151279391173,4.191791057064519,4.19028590009341,4.18863001109247,4.18681736078022,4.184841678704468,4.182696443594232,4.180374873328484,4.17786991450095,4.199999112204776,4.199908586453699,4.199723913921397,4.199441328736674,4.199056914393121,4.198566597724788,4.197966142638384,4.1972511435974855,4.196417018843822,4.195459003348844,4.194372141482924,4.193151279391173,4.191791057064519,4.19028590009341,4.18863001109247,4.18681736078022,4.184841678704468,4.182696443594232,4.180374873328484,4.17786991450095,4.199999112204776,4.199908586453699,4.199723913921397,4.199441328736674,4.199056914393121,4.198566597724788,4.197966142638384,4.1972511435974855,4.196417018843822,4.195459003348844,4.194372141482924,4.193151279391173,4.191791057064519,4.19028590009341,4.18863001109247,4.18681736078022,4.184841678704468,4.182696443594232,4.180374873328484,4.17786991450095,4.199999112204776,4.199908586453699,4.199723913921397,4.199441328736674,4.199056914393121,4.198566597724788,4.197966142638384,4.1972511435974855,4.196417018843822,4.195459003348844,4.194372141482924,4.193151279391173,4.191791057064519,4.19028590009341,4.18863001109247,4.18681736078022,4.184841678704468,4.182696443594232,4.180374873328484,4.17786991450095,4.199999112204776,4.199908586453699,4.199723913921397,4.199441328736674,4.199056914393121,4.198566597724788,4.197966142638384,4.1972511435974855,4.196417018843822,4.195459003348844,4.194372141482924,4.193151279391173,4.191791057064519,4.19028590009341,4.18863001109247,4.18681736078022,4.184841678704468,4.182696443594232,4.180374873328484,4.17786991450095,0.0,3.7342526917206507
Ocean Boulevard,1227422.9765799162,182082.85651494825,4.7,3.62327952,3.63394752,3.644066880000001,3.65763048,3.69609624,POINT (1227422.9765799162 182082.85651494825),4.199999112204776,4.199908586453699,4.199723913921397,4.199441328736674,4.199056914393121,4.198566597724788,4.197966142638384,4.1972511435974855,4.196417018843822,4.195459003348844,4.194372141482924,4.193151279391173,4.191791057064519,4.19028590009341,4.18863001109247,4.18681736078022,4.184841678704468,4.182696443594232,4.180374873328484,4.17786991450095,4.199999112204776,4.199908586453699,4.199723913921397,4.199441328736674,4.199056914393121,4.198566597724788,4.197966142638384,4.1972511435974855,4.196417018843822,4.195459003348844,4.194372141482924,4.193151279391173,4.191791057064519,4.19028590009341,4.18863001109247,4.18681736078022,4.184841678704468,4.182696443594232,4.180374873328484,4.17786991450095,4.199999112204776,4.199908586453699,4.199723913921397,4.199441328736674,4.199056914393121,4.198566597724788,4.197966142638384,4.1972511435974855,4.196417018843822,4.195459003348844,4.194372141482924,4.193151279391173,4.191791057064519,4.19028590009341,4.18863001109247,4.18681736078022,4.184841678704468,4.182696443594232,4.180374873328484,4.17786991450095,4.199999112204776,4.199908586453699,4.199723913921397,4.199441328736674,4.199056914393121,4.198566597724788,4.197966142638384,4.1972511435974855,4.196417018843822,4.195459003348844,4.194372141482924,4.193151279391173,4.191791057064519,4.19028590009341,4.18863001109247,4.18681736078022,4.184841678704468,4.182696443594232,4.180374873328484,4.17786991450095,4.199999112204776,4.199908586453699,4.199723913921397,4.199441328736674,4.199056914393121,4.198566597724788,4.197966142638384,4.1972511435974855,4.196417018843822,4.195459003348844,4.194372141482924,4.193151279391173,4.191791057064519,4.19028590009341,4.18863001109247,4.18681736078022,4.184841678704468,4.182696443594232,4.180374873328484,4.17786991450095,0.0,3.7342526917206507
Ocean Boulevard,1227221.6870710002,181568.10546278115,3.3,2.25823272,2.32934256,2.40222024,2.48204736,2.526792,POINT (1227221.6870710002 181568.10546278115),4.199999112204776,4.199908586453699,4.199723913921397,4.199441328736674,4.199056914393121,4.198566597724788,4.197966142638384,4.1972511435974855,4.196417018843822,4.195459003348844,4.194372141482924,4.193151279391173,4.191791057064519,4.19028590009341,4.18863001109247,4.18681736078022,4.184841678704468,4.182696443594232,4.180374873328484,4.17786991450095,4.199999112204776,4.199908586453699,4.199723913921397,4.199441328736674,4.199056914393121,4.198566597724788,4.197966142638384,4.1972511435974855,4.196417018843822,4.195459003348844,4.194372141482924,4.193151279391173,4.191791057064519,4.19028590009341,4.18863001109247,4.18681736078022,4.184841678704468,4.182696443594232,4.180374873328484,4.17786991450095,4.199999112204776,4.199908586453699,4.199723913921397,4.199441328736674,4.199056914393121,4.198566597724788,4.197966142638384,4.1972511435974855,4.196417018843822,4.195459003348844,4.194372141482924,4.193151279391173,4.191791057064519,4.19028590009341,4.18863001109247,4.18681736078022,4.184841678704468,4.182696443594232,4.180374873328484,4.17786991450095,4.199999112204776,4.199908586453699,4.199723913921397,4.199441328736674,4.199056914393121,4.198566597724788,4.197966142638384,4.1972511435974855,4.196417018843822,4.195459003348844,4.194372141482924,4.165872025177349,4.128708816671015,4.089727520859335,4.080246676460694,4.013227519083374,3.892620463811079,3.740972756407736,3.601952706499704,3.4485496190047917,4.181176035142376,4.02929550989094,3.81970786654616,3.5657044829426483,3.273801007306682,2.947959457831858,2.5908574774966406,2.2044212458030894,1.79009322940504,1.34898311874142,0.8819600808882434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7342526917206507
Ocean Boulevard,1227243.903410842,181644.0908256012,3.6,2.23366584,2.3179125600000003,2.40154968,2.4192280800000003,2.47095264,POINT (1227243.903410842 181644.0908256012),4.199999112204776,4.199908586453699,4.199723913921397,4.199441328736674,4.199056914393121,4.198566597724788,4.197966142638384,4.1972511435974855,4.196417018843822,4.195459003348844,4.194372141482924,4.193151279391173,4.191791057064519,4.19028590009341,4.18863001109247,4.18681736078022,4.184841678704468,4.182696443594232,4.180374873328484,4.17786991450095,4.199999112204776,4.199908586453699,4.199723913921397,4.199441328736674,4.199056914393121,4.198566597724788,4.197966142638384,4.1972511435974855,4.196417018843822,4.195459003348844,4.194372141482924,4.193151279391173,4.191791057064519,4.19028590009341,4.18863001109247,4.18681736078022,4.184841678704468,4.182696443594232,4.180374873328484,4.17786991450095,4.199999112204776,4.199908586453699,4.199723913921397,4.199441328736674,4.199056914393121,4.198566597724788,4.197966142638384,4.1972511435974855,4.196417018843822,4.195459003348844,4.194372141482924,4.193151279391173,4.191791057064519,4.19028590009341,4.18863001109247,4.18681736078022,4.184841678704468,4.182696443594232,4.180374873328484,4.17786991450095,4.199999112204776,4.199908586453699,4.199723913921397,4.199441328736674,4.199056914393121,4.198566597724788,4.197966142638384,4.1972511435974855,4.196417018843822,4.195459003348844,4.194372141482924,4.193151279391173,4.191791057064519,4.19028590009341,4.18863001109247,4.18681736078022,4.184841678704468,4.173902180518159,4.17158061025241,4.159644518383165,4.191633300177043,4.124080552425806,4.030827892865724,3.917780508383816,3.78783206679928,3.642741202216951,3.4836956247978312,3.3115489668001983,3.1269397790934743,2.930358610190099,2.7221890034408647,2.502734107638379,2.272234773761756,2.030882328211155,1.7788278664837824,1.51618918791125,1.243056081386115,0.9594944278416516,0.0,0.0,0.0,3.7342526917206507
Ocean Boulevard,1227296.5934274688,181796.9892984887,4.0,2.63264904,2.7149755200000003,2.80239216,2.9376624,3.1082894400000005,POINT (1227296.5934274688 181796.9892984887),4.199999112204776,4.199908586453699,4.199723913921397,4.199441328736674,4.199056914393121,4.198566597724788,4.197966142638384,4.1972511435974855,4.196417018843822,4.195459003348844,4.194372141482924,4.193151279391173,4.191791057064519,4.19028590009341,4.18863001109247,4.18681736078022,4.184841678704468,4.182696443594232,4.180374873328484,4.17786991450095,4.199999112204776,4.199908586453699,4.199723913921397,4.199441328736674,4.199056914393121,4.198566597724788,4.197966142638384,4.1972511435974855,4.196417018843822,4.195459003348844,4.194372141482924,4.193151279391173,4.191791057064519,4.19028590009341,4.18863001109247,4.18681736078022,4.184841678704468,4.182696443594232,4.180374873328484,4.17786991450095,4.199999112204776,4.199908586453699,4.199723913921397,4.199441328736674,4.199056914393121,4.198566597724788,4.197966142638384,4.1972511435974855,4.196417018843822,4.195459003348844,4.194372141482924,4.193151279391173,4.191791057064519,4.19028590009341,4.18863001109247,4.18681736078022,4.184841678704468,4.182696443594232,4.180374873328484,4.17786991450095,4.199999112204776,4.199908586453699,4.199723913921397,4.199441328736674,4.199056914393121,4.198566597724788,4.197966142638384,4.1972511435974855,4.196417018843822,4.195459003348844,4.194372141482924,4.193151279391173,4.191791057064519,4.19028590009341,4.18863001109247,4.18681736078022,4.184841678704468,4.182696443594232,4.180374873328484,4.17786991450095,4.199214817327176,4.192799708263584,4.183889911947428,4.173035626828592,4.160504584931185,4.146457966895914,4.131003281590805,4.114216564522714,4.096153527617201,4.076855841490198,4.056354972291481,4.0346746695393625,4.0118326555049,3.9878418152294497,3.962711060035406,3.936445969573755,3.9090492789557256,3.880521254617428,3.850859988423223,3.8200616304705552,0.0,3.7342526917206507
Ocean Boulevard,1227360.4714486117,181954.41950840136,4.5,3.11072784,3.1773876000000003,3.2412736800000004,3.31854048,3.35776824,POINT (1227360.4714486117 181954.41950840136),4.199999112204776,4.199908586453699,4.199723913921397,4.199441328736674,4.199056914393121,4.198566597724788,4.197966142638384,4.1972511435974855,4.196417018843822,4.195459003348844,4.194372141482924,4.193151279391173,4.191791057064519,4.19028590009341,4.18863001109247,4.18681736078022,4.184841678704468,4.182696443594232,4.180374873328484,4.17786991450095,4.199999112204776,4.199908586453699,4.199723913921397,4.199441328736674,4.199056914393121,4.198566597724788,4.197966142638384,4.1972511435974855,4.196417018843822,4.195459003348844,4.194372141482924,4.193151279391173,4.191791057064519,4.19028590009341,4.18863001109247,4.18681736078022,4.184841678704468,4.182696443594232,4.180374873328484,4.17786991450095,4.199999112204776,4.199908586453699,4.199723913921397,4.199441328736674,4.199056914393121,4.198566597724788,4.197966142638384,4.1972511435974855,4.196417018843822,4.195459003348844,4.194372141482924,4.193151279391173,4.191791057064519,4.19028590009341,4.18863001109247,4.18681736078022,4.184841678704468,4.182696443594232,4.180374873328484,4.17786991450095,4.199999112204776,4.199908586453699,4.199723913921397,4.199441328736674,4.199056914393121,4.198566597724788,4.197966142638384,4.1972511435974855,4.196417018843822,4.195459003348844,4.194372141482924,4.193151279391173,4.191791057064519,4.19028590009341,4.18863001109247,4.18681736078022,4.184841678704468,4.182696443594232,4.180374873328484,4.17786991450095,4.199999112204776,4.199908586453699,4.199723913921397,4.199441328736674,4.199056914393121,4.198566597724788,4.197966142638384,4.1972511435974855,4.196417018843822,4.195459003348844,4.194372141482924,4.193151279391173,4.191791057064519,4.19028590009341,4.18863001109247,4.18681736078022,4.184841678704468,4.182696443594232,4.180374873328484,4.17786991450095,0.0,3.7342526917206507
Ocean Boulevard,1227422.9765799162,182082.85651494825,4.7,3.62327952,3.63394752,3.644066880000001,3.65763048,3.69609624,POINT (1227422.9765799162 182082.85651494825),4.199999112204776,4.199908586453699,4.199723913921397,4.199441328736674,4.199056914393121,4.198566597724788,4.197966142638384,4.1972511435974855,4.196417018843822,4.195459003348844,4.194372141482924,4.193151279391173,4.191791057064519,4.19028590009341,4.18863001109247,4.18681736078022,4.184841678704468,4.182696443594232,4.180374873328484,4.17786991450095,4.199999112204776,4.199908586453699,4.199723913921397,4.199441328736674,4.199056914393121,4.198566597724788,4.197966142638384,4.1972511435974855,4.196417018843822,4.195459003348844,4.194372141482924,4.193151279391173,4.191791057064519,4.19028590009341,4.18863001109247,4.18681736078022,4.184841678704468,4.182696443594232,4.180374873328484,4.17786991450095,4.199999112204776,4.199908586453699,4.199723913921397,4.199441328736674,4.199056914393121,4.198566597724788,4.197966142638384,4.1972511435974855,4.196417018843822,4.195459003348844,4.194372141482924,4.193151279391173,4.191791057064519,4.19028590009341,4.18863001109247,4.18681736078022,4.184841678704468,4.182696443594232,4.180374873328484,4.17786991450095,4.199999112204776,4.199908586453699,4.199723913921397,4.199441328736674,4.199056914393121,4.198566597724788,4.197966142638384,4.1972511435974855,4.196417018843822,4.195459003348844,4.194372141482924,4.193151279391173,4.191791057064519,4.19028590009341,4.18863001109247,4.18681736078022,4.184841678704468,4.182696443594232,4.180374873328484,4.17786991450095,4.199999112204776,4.199908586453699,4.199723913921397,4.199441328736674,4.199056914393121,4.198566597724788,4.197966142638384,4.1972511435974855,4.196417018843822,4.195459003348844,4.194372141482924,4.193151279391173,4.191791057064519,4.19028590009341,4.18863001109247,4.18681736078022,4.184841678704468,4.182696443594232,4.180374873328484,4.17786991450095,0.0,3.7342526917206507
